data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000002;580;Force Tiara Pendant Tribute ;H;21;0;3490;
05/08/2023, 13:04:54;0000001;582;Tribute Force Rght Tiara ;C;17;3;7801;
05/08/2023, 13:04:54;0000001;312;Lft Lft Force Force ;D;15;2;8899;
05/08/2023, 13:04:54;0000003;987;Pendant Tiara ;B;9;0;2119;
05/08/2023, 13:04:54;0000003;256;Tiara Lft Pendant ;I;15;3;5787;
05/08/2023, 13:04:54;0000001;658;Force Lft Tribute Tiara ;B;23;2;926;
05/08/2023, 13:04:54;0000003;436;Crs Pendant Lft Crs ;K;24;0;1109;
05/08/2023, 13:04:54;0000001;658;Crs Pendant Lft Crs ;G;23;1;838;
05/08/2023, 13:04:54;0000001;312;Crs Tribute Rght Lft ;A;20;0;1625;
05/08/2023, 13:04:54;0000002;542;Crs Rght ;F;4;2;6581;
05/08/2023, 13:04:54;0000002;845;Force Lft Tiara Lft ;K;13;0;3122;
05/08/2023, 13:04:54;0000001;987;Pendant Tiara Crs Tiara ;J;23;3;1482;
05/08/2023, 13:04:54;0000001;958;Tiara Crs Rght ;J;17;1;9809;
05/08/2023, 13:04:54;0000002;582;Pendant Force ;H;2;1;7150;
05/08/2023, 13:04:54;0000002;512;Lft Crs ;J;15;3;89;
05/08/2023, 13:04:54;0000003;256;Tiara Crs Force ;D;1;2;296;
05/08/2023, 13:04:54;0000002;312;Force Crs Rght ;G;21;2;757;
05/08/2023, 13:04:54;0000003;256;Lft Tiara Pendant ;E;19;1;4091;
05/08/2023, 13:04:54;0000001;987;Lft Rght ;J;1;1;9226;
05/08/2023, 13:04:54;0000003;256;Crs Force ;A;21;3;3404;
05/08/2023, 13:04:54;0000003;436;Tiara Pendant Rght ;H;20;2;9329;
05/08/2023, 13:04:54;0000002;580;Tiara Tiara ;I;12;2;8337;
05/08/2023, 13:04:54;0000002;256;Lft Pendant Pendant ;B;19;2;5164;
05/08/2023, 13:04:54;0000001;312;Lft Tribute Force ;B;14;3;66;
05/08/2023, 13:04:54;0000002;958;Force Pendant ;E;22;2;395;
05/08/2023, 13:04:54;0000002;542;Force Tiara Pendant Tribute ;G;11;1;8117;
05/08/2023, 13:04:54;0000002;658;Force Rght ;E;22;1;8781;
05/08/2023, 13:04:54;0000003;852;Pendant Force ;D;15;2;2876;
05/08/2023, 13:04:54;0000002;580;Lft Lft Force Force ;H;7;2;4229;
05/08/2023, 13:04:54;0000001;987;Tiara Crs Force ;B;17;2;4155;
05/08/2023, 13:04:54;0000001;436;Crs Lft Rght Rght ;C;14;3;8918;
05/08/2023, 13:04:54;0000001;852;Lft Crs Force Force ;K;9;0;1181;
05/08/2023, 13:04:54;0000002;658;Tiara Tribute Rght Pendant ;A;25;0;2244;
05/08/2023, 13:04:54;0000003;658;Crs Force Pendant Pendant ;H;20;0;2883;
05/08/2023, 13:04:54;0000001;987;Force Lft Tribute Tiara ;K;21;2;6519;
05/08/2023, 13:04:54;0000001;312;Tribute Rght Crs ;K;2;1;118;
05/08/2023, 13:04:54;0000001;436;Pendant Crs Pendant Force ;I;15;2;315;
05/08/2023, 13:04:54;0000001;845;Tiara Tribute Force ;C;9;3;866;
05/08/2023, 13:04:54;0000001;512;Tribute Lft ;A;6;1;9214;
05/08/2023, 13:04:54;0000001;958;Crs Pendant Tiara ;H;24;2;7208;
05/08/2023, 13:04:54;0000002;436;Tiara Rght Lft ;H;8;2;4818;
05/08/2023, 13:04:54;0000003;256;Crs Lft Lft ;J;9;3;5863;
05/08/2023, 13:04:54;0000003;256;Tiara Pendant Rght ;G;9;2;214;
05/08/2023, 13:04:54;0000002;987;Crs Force ;A;19;3;8058;
05/08/2023, 13:04:54;0000002;582;Force Rght Crs Force ;D;5;1;7240;
05/08/2023, 13:04:54;0000003;256;Crs Force ;G;23;2;7878;
05/08/2023, 13:04:54;0000002;582;Force Pendant Tribute Rght ;B;25;2;6824;
05/08/2023, 13:04:54;0000002;852;Crs Crs Tribute Pendant ;E;20;2;3907;
05/08/2023, 13:04:54;0000003;436;Crs Rght Tiara ;G;15;3;3678;
05/08/2023, 13:04:54;0000001;256;Lft Tiara Force Pendant ;H;15;1;1658;
05/08/2023, 13:04:54;0000002;312;Rght Rght ;E;2;1;2330;
05/08/2023, 13:04:54;0000002;897;Tribute Crs Force ;G;6;3;462;
05/08/2023, 13:04:54;0000002;845;Pendant Pendant Lft Tiara ;A;17;1;7971;
05/08/2023, 13:04:54;0000003;658;Lft Pendant Pendant ;F;15;2;4634;
05/08/2023, 13:04:54;0000001;897;Tribute Tribute Force ;B;5;1;2860;
05/08/2023, 13:04:54;0000002;658;Tiara Rght ;I;18;1;9613;
05/08/2023, 13:04:54;0000001;582;Force Tiara Rght ;H;10;1;7870;
05/08/2023, 13:04:54;0000001;987;Lft Pendant ;J;24;0;9009;
05/08/2023, 13:04:54;0000001;436;Force Tiara Pendant ;C;1;2;8975;
05/08/2023, 13:04:54;0000002;542;Tribute Pendant Force ;A;22;2;6120;
05/08/2023, 13:04:54;0000002;256;Lft Tribute Force ;A;12;1;3909;
05/08/2023, 13:04:54;0000003;312;Crs Rght Tiara ;B;6;2;7191;
05/08/2023, 13:04:54;0000002;512;Rght Force Tiara Tiara ;I;4;1;1902;
05/08/2023, 13:04:54;0000002;436;Force Lft Rght Rght ;E;9;1;9413;
05/08/2023, 13:04:54;0000001;580;Crs Lft Crs ;A;12;3;8246;
05/08/2023, 13:04:54;0000002;312;Pendant Tribute Crs Force ;H;17;3;3024;
05/08/2023, 13:04:54;0000001;312;Force Lft Pendant Lft ;C;17;0;2440;
05/08/2023, 13:04:54;0000003;580;Pendant Rght Rght Rght ;A;20;1;624;
05/08/2023, 13:04:54;0000002;256;Pendant Force ;J;17;0;3460;
05/08/2023, 13:04:54;0000001;256;Force Lft Tribute Tiara ;E;1;2;1968;
05/08/2023, 13:04:54;0000003;542;Pendant Tiara Lft ;K;23;0;8292;
05/08/2023, 13:04:54;0000002;512;Rght Tiara ;G;15;0;5960;
05/08/2023, 13:04:54;0000002;542;Lft Lft Lft ;E;6;3;4;
05/08/2023, 13:04:54;0000002;897;Pendant Crs ;D;19;1;2529;
05/08/2023, 13:04:54;0000001;256;Tiara Lft Pendant ;C;5;0;7856;
05/08/2023, 13:04:54;0000002;542;Crs Crs Pendant ;F;4;3;2177;
05/08/2023, 13:04:54;0000002;958;Lft Lft ;K;4;2;3036;
05/08/2023, 13:04:54;0000001;580;Force Tribute Pendant ;F;8;0;3358;
05/08/2023, 13:04:54;0000003;580;Tribute Tiara Tribute ;K;5;0;7354;
05/08/2023, 13:04:54;0000002;436;Crs Force Pendant Pendant ;C;25;2;4376;
05/08/2023, 13:04:54;0000002;582;Force Pendant ;K;7;3;7420;
05/08/2023, 13:04:54;0000001;958;Rght Crs ;C;24;3;9609;
05/08/2023, 13:04:54;0000001;582;Tiara Crs ;J;4;3;8149;
05/08/2023, 13:04:54;0000001;312;Tiara Rght Lft ;K;5;3;4682;
05/08/2023, 13:04:54;0000003;958;Pendant Crs ;A;25;3;8456;
05/08/2023, 13:04:54;0000001;845;Tribute Lft ;G;6;2;5070;
05/08/2023, 13:04:54;0000002;312;Rght Rght ;K;14;1;1259;
05/08/2023, 13:04:54;0000001;987;Crs Pendant ;G;6;3;4805;
