data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000001;256;Crs Pendant ;E;7;1;5415;
05/08/2023, 13:04:54;0000002;658;Force Tiara Rght ;G;19;3;8724;
05/08/2023, 13:04:54;0000003;958;Crs Crs Pendant Pendant ;F;21;1;3113;
05/08/2023, 13:04:54;0000002;987;Lft Rght Rght ;I;8;2;539;
05/08/2023, 13:04:54;0000002;987;Lft Lft Lft ;G;12;0;781;
05/08/2023, 13:04:54;0000002;897;Rght Tribute Lft ;A;12;3;1242;
05/08/2023, 13:04:54;0000002;580;Pendant Lft Tiara ;E;21;0;3879;
05/08/2023, 13:04:54;0000003;256;Pendant Force ;J;19;1;5003;
05/08/2023, 13:04:54;0000002;436;Rght Tribute ;C;25;3;3884;
05/08/2023, 13:04:54;0000003;436;Crs Crs Pendant ;K;20;3;7242;
05/08/2023, 13:04:54;0000002;436;Tiara Lft Pendant ;A;21;0;3956;
05/08/2023, 13:04:54;0000003;845;Pendant Crs Crs Crs ;K;24;3;2394;
05/08/2023, 13:04:54;0000002;542;Lft Rght ;D;4;1;9693;
05/08/2023, 13:04:54;0000002;852;Tribute Force ;K;6;1;1132;
05/08/2023, 13:04:54;0000001;256;Crs Tiara ;G;10;1;4144;
05/08/2023, 13:04:54;0000001;845;Force Tiara Rght ;F;2;2;1078;
05/08/2023, 13:04:54;0000001;512;Force Lft Tribute Tiara ;G;10;0;4330;
05/08/2023, 13:04:54;0000001;987;Tiara Force Rght Lft ;D;18;3;2352;
05/08/2023, 13:04:54;0000003;312;Tribute Lft ;I;1;1;5363;
05/08/2023, 13:04:54;0000002;658;Crs Pendant Tiara ;J;11;0;2941;
05/08/2023, 13:04:54;0000002;256;Crs Force ;A;21;3;469;
05/08/2023, 13:04:54;0000001;436;Force Pendant Tribute Rght ;E;4;2;2893;
05/08/2023, 13:04:54;0000001;512;Tiara Crs Force ;G;18;1;810;
05/08/2023, 13:04:54;0000001;958;Force Lft Tiara Lft ;H;23;0;2025;
05/08/2023, 13:04:54;0000001;987;Crs Crs ;F;1;1;9517;
05/08/2023, 13:04:54;0000002;582;Pendant Crs Crs Crs ;K;17;3;1227;
05/08/2023, 13:04:54;0000003;436;Force Pendant ;B;15;2;4694;
05/08/2023, 13:04:54;0000002;256;Crs Force Lft ;C;13;2;4589;
05/08/2023, 13:04:54;0000001;658;Lft Tribute Crs Lft ;C;10;0;3058;
05/08/2023, 13:04:54;0000003;542;Pendant Force ;B;19;1;8991;
05/08/2023, 13:04:54;0000001;512;Tiara Crs Force ;G;25;0;973;
05/08/2023, 13:04:54;0000002;312;Tribute Force ;A;23;1;8564;
05/08/2023, 13:04:54;0000002;658;Lft Pendant ;H;12;0;4841;
05/08/2023, 13:04:54;0000002;312;Tiara Tribute Rght Tribute ;I;4;2;8611;
05/08/2023, 13:04:54;0000002;582;Crs Force Lft ;B;16;2;7842;
05/08/2023, 13:04:54;0000001;897;Rght Tiara Force ;J;17;1;6285;
05/08/2023, 13:04:54;0000001;958;Force Rght Crs Force ;D;15;3;7801;
05/08/2023, 13:04:54;0000001;582;Tribute Rght Crs Crs ;E;19;0;659;
05/08/2023, 13:04:54;0000002;852;Pendant Tribute Rght Lft ;I;13;2;7235;
05/08/2023, 13:04:54;0000001;256;Tribute Rght Crs ;D;14;1;3577;
05/08/2023, 13:04:54;0000002;512;Lft Lft Force Force ;J;22;2;8961;
05/08/2023, 13:04:54;0000002;436;Rght Pendant ;A;10;1;867;
05/08/2023, 13:04:54;0000002;845;Force Crs Force ;D;17;2;5098;
05/08/2023, 13:04:54;0000002;312;Rght Tiara ;K;14;2;1235;
05/08/2023, 13:04:54;0000002;312;Lft Rght Tiara Pendant ;G;9;1;2463;
05/08/2023, 13:04:54;0000002;436;Tiara Tribute Force ;A;7;2;3547;
05/08/2023, 13:04:54;0000003;897;Rght Rght ;D;14;0;4329;
05/08/2023, 13:04:54;0000001;312;Force Crs Rght ;B;7;1;7180;
05/08/2023, 13:04:54;0000001;852;Crs Lft Crs ;K;15;0;6616;
05/08/2023, 13:04:54;0000001;987;Tribute Tribute Force ;I;11;1;4291;
05/08/2023, 13:04:54;0000002;256;Force Lft Tiara Lft ;F;15;0;2637;
05/08/2023, 13:04:54;0000003;580;Pendant Crs Pendant Force ;H;11;1;3035;
05/08/2023, 13:04:54;0000003;958;Crs Force Pendant Pendant ;J;9;1;1149;
05/08/2023, 13:04:54;0000002;580;Pendant Tribute Crs Force ;A;7;2;8584;
05/08/2023, 13:04:54;0000003;580;Lft Tribute Crs Lft ;A;18;2;3395;
05/08/2023, 13:04:54;0000002;852;Force Tiara Pendant Tribute ;I;13;3;2810;
