data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000001;582;Tiara Tribute Force ;H;25;1;8298;
05/08/2023, 13:04:54;0000001;845;Tiara Tribute Rght Tribute ;J;6;3;9825;
05/08/2023, 13:04:54;0000002;312;Force Crs Rght ;C;6;0;1596;
05/08/2023, 13:04:54;0000002;512;Tiara Rght ;C;9;3;7412;
05/08/2023, 13:04:54;0000002;852;Pendant Tribute Crs Force ;J;9;3;1733;
05/08/2023, 13:04:54;0000001;582;Tiara Tribute ;K;9;2;2981;
05/08/2023, 13:04:54;0000001;658;Crs Pendant Tiara Rght ;F;3;2;9757;
05/08/2023, 13:04:54;0000002;580;Force Lft Tiara Lft ;F;13;3;5671;
05/08/2023, 13:04:54;0000001;582;Crs Pendant Lft Crs ;D;16;3;9321;
05/08/2023, 13:04:54;0000003;436;Pendant Tiara Lft ;J;19;1;4147;
05/08/2023, 13:04:54;0000003;658;Lft Pendant ;A;8;0;1372;
05/08/2023, 13:04:54;0000002;582;Force Tiara Tiara Pendant ;F;19;0;4832;
05/08/2023, 13:04:54;0000002;312;Pendant Tribute Crs Force ;I;19;3;8994;
05/08/2023, 13:04:54;0000002;582;Tribute Rght Force ;F;11;0;2783;
05/08/2023, 13:04:54;0000003;897;Tiara Tribute Force ;A;2;1;1557;
05/08/2023, 13:04:54;0000001;436;Rght Tiara Force Tribute ;K;17;0;307;
05/08/2023, 13:04:54;0000003;852;Lft Pendant ;E;15;3;7254;
05/08/2023, 13:04:54;0000002;987;Crs Pendant Tiara ;F;21;1;1789;
05/08/2023, 13:04:54;0000003;658;Tribute Crs Pendant ;D;20;1;7876;
05/08/2023, 13:04:54;0000002;852;Rght Force ;I;1;3;9297;
05/08/2023, 13:04:54;0000001;580;Rght Force ;E;8;0;9475;
05/08/2023, 13:04:54;0000002;580;Rght Tribute ;G;18;2;7380;
05/08/2023, 13:04:54;0000001;256;Lft Crs ;E;22;2;8359;
05/08/2023, 13:04:54;0000002;580;Rght Crs ;A;8;3;6868;
05/08/2023, 13:04:54;0000001;512;Pendant Crs Pendant Lft ;J;22;1;439;
05/08/2023, 13:04:54;0000001;312;Rght Rght ;J;20;0;466;
05/08/2023, 13:04:54;0000003;580;Force Rght ;D;17;3;9118;
05/08/2023, 13:04:54;0000003;658;Lft Rght Rght ;F;4;2;159;
05/08/2023, 13:04:54;0000001;658;Force Rght ;F;4;0;6655;
05/08/2023, 13:04:54;0000002;312;Crs Tiara Tribute ;H;16;0;3158;
05/08/2023, 13:04:54;0000001;845;Force Force Tribute ;J;22;3;3009;
05/08/2023, 13:04:54;0000003;436;Lft Tiara Force Pendant ;B;13;3;7095;
05/08/2023, 13:04:54;0000003;512;Tiara Rght Crs ;C;13;2;3891;
05/08/2023, 13:04:54;0000003;897;Force Force Tribute ;A;9;2;6582;
05/08/2023, 13:04:54;0000002;987;Crs Pendant ;A;20;3;9719;
05/08/2023, 13:04:54;0000003;987;Force Force Tribute ;D;24;3;4125;
05/08/2023, 13:04:54;0000001;542;Force Tiara Tiara Pendant ;A;13;3;5287;
05/08/2023, 13:04:54;0000002;512;Force Tiara ;H;5;1;7693;
05/08/2023, 13:04:54;0000003;312;Rght Tribute Lft ;D;7;3;7178;
05/08/2023, 13:04:54;0000002;512;Lft Rght Tiara Pendant ;J;16;0;2934;
05/08/2023, 13:04:54;0000003;436;Force Rght Crs Force ;B;22;3;9603;
05/08/2023, 13:04:54;0000003;312;Pendant Tiara Lft ;C;20;1;8891;
05/08/2023, 13:04:54;0000003;987;Tiara Tribute Lft ;G;14;0;1373;
05/08/2023, 13:04:54;0000002;897;Tiara Tiara ;I;18;1;6982;
05/08/2023, 13:04:54;0000001;897;Tiara Tribute Rght Pendant ;H;18;3;1510;
05/08/2023, 13:04:54;0000002;958;Crs Tiara Tribute ;K;14;2;927;
05/08/2023, 13:04:54;0000001;256;Force Rght ;G;20;0;8115;
05/08/2023, 13:04:54;0000001;580;Pendant Tribute Rght Lft ;B;6;2;504;
05/08/2023, 13:04:54;0000002;436;Tribute Lft Tribute ;C;8;1;1835;
05/08/2023, 13:04:54;0000003;512;Crs Pendant ;F;5;2;2719;
05/08/2023, 13:04:54;0000001;542;Tribute Crs Rght ;A;17;3;7100;
05/08/2023, 13:04:54;0000001;958;Tiara Rght ;E;13;3;3842;
05/08/2023, 13:04:54;0000001;958;Tribute Rght Crs Crs ;G;1;3;7684;
05/08/2023, 13:04:54;0000002;958;Rght Rght ;K;10;3;1247;
05/08/2023, 13:04:54;0000003;256;Tribute Lft Tribute ;D;25;2;753;
05/08/2023, 13:04:54;0000003;987;Tribute Pendant Force ;F;14;0;749;
05/08/2023, 13:04:54;0000003;845;Lft Tribute Pendant ;B;25;3;6036;
05/08/2023, 13:04:54;0000003;312;Crs Pendant Tiara Rght ;D;19;2;5445;
05/08/2023, 13:04:54;0000001;580;Lft Tribute Pendant ;C;14;1;6576;
05/08/2023, 13:04:54;0000002;256;Force Lft Tribute Tiara ;C;3;0;3344;
05/08/2023, 13:04:54;0000002;852;Crs Pendant ;I;22;0;6863;
05/08/2023, 13:04:54;0000001;852;Crs Crs Tribute Pendant ;K;10;3;2614;
05/08/2023, 13:04:54;0000002;987;Tiara Crs ;F;24;0;7554;
05/08/2023, 13:04:54;0000003;582;Lft Pendant ;H;16;0;7750;
05/08/2023, 13:04:54;0000002;580;Force Pendant ;D;11;3;387;
05/08/2023, 13:04:54;0000003;542;Rght Force ;K;25;2;3145;
05/08/2023, 13:04:54;0000001;580;Tiara Tribute ;H;25;0;3221;
05/08/2023, 13:04:54;0000003;312;Tiara Rght Crs ;K;21;1;6203;
05/08/2023, 13:04:54;0000002;256;Pendant Crs ;K;21;0;1001;
05/08/2023, 13:04:54;0000001;582;Tribute Rght Crs Crs ;A;4;3;4158;
05/08/2023, 13:04:54;0000003;958;Pendant Force ;D;7;0;1451;
05/08/2023, 13:04:54;0000001;512;Lft Tribute Pendant ;F;10;2;3387;
05/08/2023, 13:04:54;0000001;312;Lft Force ;J;22;1;5497;
05/08/2023, 13:04:54;0000001;658;Force Force ;B;23;3;6026;
05/08/2023, 13:04:54;0000003;658;Tribute Rght Tiara ;H;9;0;25;
05/08/2023, 13:04:54;0000001;580;Tiara Tribute Lft ;A;12;0;5523;
05/08/2023, 13:04:54;0000003;542;Tiara Pendant Tiara Force ;B;5;0;7541;
05/08/2023, 13:04:54;0000003;256;Crs Force ;C;23;0;4611;
05/08/2023, 13:04:54;0000001;987;Lft Tribute Force ;G;19;2;654;
05/08/2023, 13:04:54;0000001;958;Force Rght ;I;23;2;633;
05/08/2023, 13:04:54;0000002;512;Pendant Crs Crs Crs ;K;16;3;5850;
05/08/2023, 13:04:54;0000001;436;Lft Tribute Crs Lft ;A;13;1;1646;
